Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
1,Michael Thomas*+,NOR,25,WR,16,16,147,125,1405,82,891,7.1,514,4.1,6,20.8,3,2
2,Zach Ertz*,PHI,28,TE,16,16,156,116,1163,72,810,7,353,3,3,38.7,5,3.2
3,DeAndre Hopkins*+,HOU,26,WR,16,16,163,115,1572,85,1185,10.3,387,3.4,5,23,2,1.2
4,Julio Jones*,ATL,29,WR,16,16,170,113,1677,80,1229,10.9,448,4,3,37.7,9,5.3
5,Adam Thielen*,MIN,28,WR,16,16,153,113,1373,74,957,8.5,416,3.7,3,37.7,3,2
6,Davante Adams*,GNB,26,WR,15,15,169,111,1386,64,911,8.2,475,4.3,4,27.8,5,3
7,JuJu Smith-Schuster*,PIT,22,WR,16,13,166,111,1426,67,778,7,648,5.8,7,15.9,6,3.6
8,Christian McCaffrey,CAR,22,RB,16,16,124,107,867,41,12,0.1,855,8,7,15.3,1,0.8
9,Antonio Brown*,PIT,30,WR,15,15,168,104,1297,63,812,7.8,485,4.7,5,20.8,3,1.8
10,Travis Kelce*+,KAN,29,TE,16,16,150,103,1336,75,767,7.4,569,5.5,7,14.7,7,4.7
11,Stefon Diggs,MIN,25,WR,15,14,149,102,1021,49,573,5.6,448,4.4,4,25.5,3,2
12,Keenan Allen*,LAC,26,WR,16,14,136,97,1196,66,793,8.2,403,4.2,3,32.3,4,2.9
13,Saquon Barkley*,NYG,21,RB,16,16,121,91,721,30,-47,-0.5,768,8.4,13,7,4,3.3
14,George Kittle*,SFO,25,TE,16,16,136,88,1377,60,507,5.8,870,9.9,9,9.8,5,3.7
15,Tyreek Hill*+,KAN,24,WR,16,16,137,87,1479,66,952,10.9,527,6.1,4,21.8,6,4.4
16,James White,NWE,26,rb,16,3,123,87,751,46,86,1,665,7.6,3,29,5,4.1
17,Mike Evans*,TAM,25,WR,16,16,138,86,1524,68,1242,14.4,282,3.3,0,,7,5.1
18,Robert Woods,LAR,26,WR,16,16,130,86,1219,74,799,9.3,420,4.9,2,43,2,1.5
19,Alvin Kamara*,NOR,23,RB,15,13,105,81,709,37,67,0.8,642,7.9,7,11.6,3,2.9
20,Jarvis Landry*,CLE,26,WR,16,14,149,81,976,44,702,8.7,274,3.4,3,27,11,7.4
21,Brandin Cooks,LAR,25,WR,16,16,117,80,1204,70,858,10.7,346,4.3,4,20,0,0
